Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 01213,Apple Island,Denmark,yellow / white,"outer radial lines, fortress like",No,No,8/10/2020,,Yes,,,,NBC 01213,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01214,Apple Island,Denmark,orange / white / gray,bumpy,No,No,8/10/2020,,Yes,,,,NBC 01214,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01215,CWH 12,Denmark,tan,bumpy,No,reduced ZOI,8/10/2020,,Yes,,,,NBC 01215,12) riverbank,Rømø,"55°11'06.1""N 8°33'36.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01216,CWH 12,Denmark,tan / white,small bumps,reduced ZOI,No,8/10/2020,,Yes,,,,NBC 01216,12) riverbank,Rømø,"55°11'06.1""N 8°33'36.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01217,CWH 12,Denmark,tan / white,fortress-like,No,unsure,8/10/2020,,Yes,,,,NBC 01217,12) riverbank,Rømø,"55°11'06.1""N 8°33'36.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01218,CWH 35,Denmark,white / gray,"outer radial lines, bumpy interior",No,reduced ZOI,8/10/2020,,Yes,,,,NBC 01218,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01219,CWH 35,Denmark,white / gray,bumpy,No,2 mm,8/10/2020,,,,,,NBC 01219,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01220,CWH 35,Denmark,tan / gray,wrinkly,No,No,8/10/2020,,Yes,,,,NBC 01220,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01221,CWH 32,Denmark,tan / green / gray,bumpy,No,No,8/10/2020,,Yes,,,,NBC 01221,32. next to creek,Knudsø,"56°05'47.5""N 9°46'30.7""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01222,CWH 32,Denmark,tan / white,small bumps,No,No,8/10/2020,,,,,,NBC 01222,32. next to creek,Knudsø,"56°05'47.5""N 9°46'30.7""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01223,CWH 15,Denmark,tan / gray,fuzzy,1 mm,3 mm,8/10/2020,,,,,,NBC 01223,15) under moss,Billum,"55°36'00.6""N 8°17'20.1""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01224,CWH 33,Denmark,light tan / white / gray,fuzzy,unsure,No,8/10/2020,,Yes,,,,NBC 01224,33. mossy forest soil,Knudsø,"56°05'46.3""N 9°46'31.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01225,CWH 12,Denmark,tan / white,wrinkly,reduced ZOI,No,8/12/2020,,,,,,NBC 01225,12) riverbank,Rømø,"55°11'06.1""N 8°33'36.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01226,CWH 35,Denmark,Did not grow,Did not grow,,,8/12/2020,,,,,,NBC 01226,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01227,Anholt2,Denmark,yellow,flat / small bumps,No,No,8/12/2020,,Yes,,,Pretty sure I've seen this phenotype before,NBC 01227,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01228,Lv Gl. stald,Denmark,tan / white / gray,fluffy,reduced ZOI,2 mm,8/17/2020,Yes,Yes,,,,NBC 01228,Gammel stald,Livø,"56°53'46""N 9°4'23""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01229,CWH 53,Germany,white / gray,outer radial lines / bumpy & fuzzy interior,1 mm,1 mm,8/24/2020,Yes,,,,"NBC 01229, 01269 and 01295 and likely duplicates",NBC 01229,53. Compost pile,"Essen, Germany",,2020-07-01,Christopher Whitford, ISP4,Compost pile at Chris' sister's place
NBC 01230,Lv Gl. stald,Denmark,tan / white / gray,wrinkly,No,reduced ZOI,8/17/2020,,Yes,,,,NBC 01230,Gammel stald,Livø,"56°53'46""N 9°4'23""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01231,Lv Gl. stald,Denmark,reddish brown / white,"outer radial lines, fluffy interior",No,No,8/17/2020,,Yes,,,,NBC 01231,Gammel stald,Livø,"56°53'46""N 9°4'23""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01232,Lv Gl. stald,Denmark,white / gray,fluffy,No,No,8/17/2020,,Yes,,,,NBC 01232,Gammel stald,Livø,"56°53'46""N 9°4'23""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01233,CWH 09,Denmark,tan / white,flat,No,No,8/17/2020,,Yes,,,,NBC 01233,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01234,Ejerslev Blue Lagoon,Denmark,reddish brown,bumpy,No,No,8/17/2020,,,,,,NBC 01234,"""Den Blå Lagune"" molerklint","Ejerslev, Nykøbing Mors","56°55'6""N 8°55'15""E",2020-07-21,Sofie Hornslet, ISP4 & MS,
NBC 01235,Ejerslev Blue Lagoon,Denmark,tan / white,bumpy,No,No,8/17/2020,,Yes,,,,NBC 01235,"""Den Blå Lagune"" molerklint","Ejerslev, Nykøbing Mors","56°55'6""N 8°55'15""E",2020-07-21,Sofie Hornslet, ISP4 & MS,
NBC 01236,Ejerslev Blue Lagoon,Denmark,dark red,bumpy,No,No,8/17/2020,,Yes,,,,NBC 01236,"""Den Blå Lagune"" molerklint","Ejerslev, Nykøbing Mors","56°55'6""N 8°55'15""E",2020-07-21,Sofie Hornslet, ISP4 & MS,
NBC 01237,Lv hultraeet,Denmark,light brown / white / gray,flat,No,No,8/17/2020,,Yes,,,,NBC 01237,Hultræet,Livø,"56°53'38""N 9°4'58""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01238,Lv hultraeet,Denmark,tan / white / gray,bumpy,No,No,8/17/2020,,Yes,,,,NBC 01238,Hultræet,Livø,"56°53'38""N 9°4'58""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
NBC 01239,Lv hultraeet,Denmark,white,wrinkly / bumpy,No,No,8/17/2020,,Yes,,,,NBC 01239,Hultræet,Livø,"56°53'38""N 9°4'58""E",2020-07-18,Sofie Hornslet, ISP4 & MS,
